epoch,loss,val_loss
0,0.04552258923649788,0.013151598162949085
1,0.011038409546017647,0.010239903815090656
2,0.009884798899292946,0.009381581097841263
3,0.009130220860242844,0.009312566369771957
4,0.008178106509149075,0.007787397131323814
5,0.007116168737411499,0.006275566760450602
6,0.006235944107174873,0.005917714908719063
7,0.005344141740351915,0.0041692135855555534
8,0.004105991218239069,0.003757466096431017
9,0.0034618128556758165,0.003455846104770899
10,0.003062670584768057,0.002654528245329857
11,0.002684784820303321,0.002484732773154974
12,0.0024222161155194044,0.0027018811088055372
13,0.0022781689185649157,0.0030611830297857523
14,0.0021125967614352703,0.0019202004186809063
15,0.001923551200889051,0.002182198688387871
16,0.0018772027688100934,0.0017108035972341895
17,0.001734034507535398,0.002195605542510748
18,0.0016063360963016748,0.0016385652124881744
19,0.001602789736352861,0.0019280803389847279
20,0.001499732257798314,0.0013870720285922289
21,0.001504560699686408,0.0015883686719462276
22,0.001393035752698779,0.0019998454954475164
23,0.0013868958922103047,0.0016598940128460526
24,0.001353252213448286,0.0012544055934995413
25,0.0013306220062077045,0.0012860898859798908
26,0.0012379295658320189,0.0012795381480827928
27,0.0012304477859288454,0.0012327401200309396
28,0.0011754222214221954,0.0016212579794228077
29,0.0012131078401580453,0.0014797967160120606
30,0.0010804913472384214,0.0011483250418677926
31,0.0011492948979139328,0.001130785676650703
32,0.0010697126854211092,0.001158511033281684
33,0.0010405243374407291,0.0011821839725598693
34,0.0010763055179268122,0.001076794695109129
35,0.0010511315194889903,0.0011768622789531946
36,0.0009788742754608393,0.0010587426368147135
37,0.0010157133219763637,0.0012257451890036464
38,0.0010580711532384157,0.0010257856920361519
39,0.0008975477539934218,0.0010500673670321703
40,0.0009688968420960009,0.0012596531305462122
41,0.0009759285603649914,0.0010382215259596705
42,0.0009110443061217666,0.0012967061484232545
43,0.0009398898691870272,0.0009914393303915858
44,0.0008291064877994359,0.0017845857655629516
45,0.0009357344242744148,0.0009899841388687491
46,0.0008301433408632874,0.0010598439257591963
47,0.0009562685736455023,0.000985556049272418
48,0.0008167164633050561,0.0012190272100269794
49,0.0007099692593328655,0.000979629810899496
50,0.0009460255387239158,0.0010754745453596115
51,0.0007942480151541531,0.0009186083334498107
52,0.0008499520481564105,0.0013132214080542326
53,0.0007680754060856998,0.0009600204648450017
54,0.0007740804576314986,0.0011454058112576604
55,0.0008240846218541265,0.0010202748235315084
56,0.0007281425641849637,0.0009782434208318591
57,0.0006927362410351634,0.0009086282225325704
58,0.0007649085600860417,0.0009459158754907548
59,0.0007115699118003249,0.0009866863256320357
60,0.0007565824198536575,0.0008902312256395817
61,0.0007899649208411574,0.0010213176719844341
62,0.0006657300982624292,0.001127493567764759
63,0.0007222160347737372,0.0009301245445385575
64,0.0005968594923615456,0.000890944735147059
65,0.0008413998293690383,0.0010047706309705973
66,0.000639438396319747,0.0009149537072516978
67,0.0006727405125275254,0.0013726948527619243
68,0.0006798178656026721,0.000891532632522285
69,0.0007914787856861949,0.0010100945364683867
70,0.000638762372545898,0.0008914917707443237
71,0.0006632724544033408,0.0008862937684170902
72,0.0006338781677186489,0.0008882566471584141
73,0.0007666027522645891,0.000952426518779248
74,0.0006331498152576387,0.0008835085900500417
75,0.0006314743077382445,0.0016792704118415713
76,0.0007295799441635609,0.0009218209888786077
77,0.0006954179261811078,0.001097887521609664
78,0.0006443194579333067,0.0008790140273049474
79,0.0006597214378416538,0.0009805585723370314
80,0.000642776140011847,0.000883493572473526
81,0.0006140664336271584,0.0009829364717006683
82,0.0007042153738439083,0.0009475320111960173
83,0.0006844002637080848,0.0008559644920751452
84,0.0006123237544670701,0.0010882123606279492
85,0.000541356042958796,0.0009377425303682685
86,0.0005481507396325469,0.0009288484579883516
87,0.0007923442171886563,0.0008866593707352877
88,0.0005894777714274824,0.0009717451175674796
89,0.0006089578382670879,0.0009109293459914625
90,0.0006901175947859883,0.0009056658018380404
91,0.000659536977764219,0.0009232550510205328
92,0.0005983528681099415,0.0008768918924033642
93,0.0006445822073146701,0.0008595229010097682
94,0.0005810238071717322,0.0011003371328115463
95,0.0005947939935140312,0.0009751166217029095
96,0.0006217900663614273,0.0008794256718829274
97,0.0005075064254924655,0.0009781881235539913
98,0.0006929168594069779,0.0015052073867991567
99,0.0005597385461442173,0.0008303764625452459
