Model,MSE,PSNR,SSIM
DRUNet,58.10505689274181,32.583763344710995,0.8959427589127441
DnCNN,206.56070596280722,26.921570104165635,0.8212823084885811
Pix2Pix,423.4809690388766,24.02152361265505,0.7325238661645073
Degraded (Baseline),1210.5901457348257,20.77587324482985,0.6032282398358603
